posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
151,"Imagine Dragons, Arcane, League of Legends",Enemy - From the series Arcane League of Legends,KIDinaKORNER/Interscope Records,818876,2021
152,Kali Uchis,telepatía,EMI / Interscope,816013,2021
153,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",Ella - Remix,Sony Music Latin,813881,2021
154,León Larregui,Locos,Universal Music Mexico,807162,2021
155,Grupo 360,La Barda,Grupo 360,804779,2021
156,El Fantasma,Soy Buen Amigo,Afinarte Music,804718,2021
157,Cartel De Santa,Todas Mueren por Mí,Ariola,801394,2021
158,"Los Ángeles Azules, Natalia Lafourcade",Nunca Es Suficiente,Promotodo Mexico,800336,2021
159,Dua Lipa,Don't Start Now,Warner Records,798460,2021
160,Calibre 50,Simplemente Gracias,Calibre,797208,2021
161,Bad Bunny,TE DESEO LO MEJOR,Rimas Entertainment LLC,796201,2021
162,José Feliciano,Feliz Navidad,RCA Records Label,795707,2021
163,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,793736,2021
164,Måneskin,Beggin',RCA Records Label,793260,2021
165,Luis Miguel,La Incondicional,WEA Latina,790612,2021
166,Banda MS de Sergio Lizárraga,Cerrando Ciclos,Lizos Music,790241,2021
167,Christian Nodal,Adiós Amor,Universal Music Mexico,787093,2021
168,Flans,Las Mil Y Una Noches,Universal Music Mexico,786987,2021
169,Joan Sebastian,Tatuajes,Musart-Balboa,785210,2021
170,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,781967,2021
171,Doja Cat,Woman,Kemosabe Records/RCA Records,780054,2021
173,Kevin Kaarl,Vámonos a Marte,Kevin Kaarl,779713,2021
174,Vicente Fernández,Hermoso Cariño,Sony BMG Music Entertainment,778026,2021
175,Los Elegantes de Jerez,Tú,LE Music,775608,2021
176,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",774929,2021
177,"Mora, Jhay Cortez",512,Rimas Entertainment LLC,774068,2021
178,Christian Nodal,No Te Contaron Mal,Universal Music Mexico,767273,2021
179,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,765499,2021
180,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",757804,2021
181,The Weeknd,Save Your Tears,Republic Records,757800,2021
182,Kevin Kaarl,Colapso,Kevin Kaarl,753235,2021
183,"Fuerza Regida, Calle 24",Que Esta Pasando,Rancho Humilde - Lumbre Music - Streetmob Records,750464,2021
184,Grupo Marca Registrada,El Doctor,RB Music,750054,2021
185,LISA,MONEY,YG Entertainment/Interscope Records,747904,2021
186,Bad Bunny,La Difícil,Rimas Entertainment LLC,747804,2021
187,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE - Remix,N&E Entertainment LLC,743117,2021
188,Luis R Conriquez,El Buho,Kartel Music,741695,2021
189,BoyWithUke,Toxic,Republic Records,739693,2021
190,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY),"Sueños Globales, LLC",738002,2021
191,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,Rimas Entertainment LLC,736161,2021
192,Doja Cat,Need to Know,Kemosabe Records/RCA Records,734710,2021
193,Valentín Elizalde,Vete Ya,Universal Music Mexico,731417,2021
194,"MC Davo, Calibre 50",¿Quién Te Crees?,"Andaluz Music, LLC",729530,2021
195,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,729178,2021
196,"ROSALÍA, The Weeknd",LA FAMA (with The Weeknd),Columbia,726176,2021
197,Mon Laferte,Tu Falta De Querer,Universal Music Mexico,726011,2021
198,Pancho Barraza,Mi Enemigo El Amor,Pachy Music,724769,2021
199,"Tiago PZK, Trueno",Salimo de Noche,WM Chile,724009,2021
200,Ivan Cornejo,Está Dañada,"Manzana Records, Inc.",723541,2021
