posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
120,Zion & Lennox,Yo Voy (feat. Daddy Yankee),Baby Records Inc,1077625,2022
121,Alfredo Olivas,El Paciente,"Sahuaro Enterprise, Inc.",1069865,2022
122,Paulo Londra,Plan A,WEA Latina,1063331,2022
123,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Rimas Entertainment LLC,1058358,2022
124,Virlan Garcia,Híbrido,Sony Music México,1057635,2022
125,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,1055581,2022
126,"Grupo Firme, Maluma",Cada Quien,Music VIP Entertainment Inc,1050510,2022
127,Bad Bunny,Vete,Rimas Entertainment LLC,1048985,2022
128,Edgardo Nuñez,El Ruddy,Genesis Records,1046860,2022
129,El Fantasma,El Bélico,Afinarte Music,1044366,2022
130,Maluma,Hawái,Sony Music Latin,1029738,2022
131,Código FN,Soy El Ratón,Al Millon Music,1023340,2022
132,Christian Nodal,Vivo en el 6,"Producciones Ladon, S.A de C.V.",1020143,2022
133,Grupo Recluta,Se Fue La Pantera,Boba Records,1013798,2022
134,Luis R Conriquez,El Buho,Kartel Music,1013402,2022
135,KAROL G,BICHOTA,UMLE - Latino,1009661,2022
136,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,998160,2022
137,León Larregui,Brillas,EMI México,995136,2022
138,"Bad Bunny, Mora",Una Vez,Rimas Entertainment LLC,989477,2022
139,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,984899,2022
140,"Coldplay, BTS",My Universe,Parlophone UK,983736,2022
