,nom_artista,reproducciones
479,Banda MS de Sergio Lizárraga,787803
480,Christian Nodal,787093
481,Flans,786987
482,Hombres G,785952
483,Joan Sebastian,785210
484,La Factoria,783909
485,Valentín Elizalde,782956
486,Natanael Cano,782538
487,Los Enanitos Verdes,781967
488,Alejandro Fernández,781377
489,Doja Cat,780054
490,Kevin Kaarl,779713
491,Vicente Fernández,778026
492,Los Elegantes de Jerez,775608
493,"ACRAZE, Cherish",774929
494,"Mora, Jhay Cortez",774068
495,Christian Nodal,767273
496,"The Weeknd, Ariana Grande",765499
497,Luis Miguel,764914
498,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",763707
499,Justin Quiles,761826
500,Alejandro Fernández,760067
501,"J Balvin, Skrillex",757804
502,The Weeknd,757800
503,Kevin Kaarl,753235
504,"Fuerza Regida, Calle 24",750464
505,Grupo Marca Registrada,750054
506,Los Enanitos Verdes,749933
507,LISA,747904
508,Bad Bunny,747804
509,Christian Nodal,744755
510,"Jhay Cortez, Bad Bunny",743117
511,Luis R Conriquez,741695
512,BoyWithUke,739693
513,"J Balvin, Dua Lipa, Bad Bunny, Tainy",738002
514,Rels B,737714
515,"Bad Bunny, Jowell & Randy, Ñengo Flow",736161
516,Dalex,734718
517,Doja Cat,734710
518,Valentín Elizalde,731417
519,"MC Davo, Calibre 50",729530
520,"Rauw Alejandro, Anuel AA",729178
521,"Adriel Favela, Javier Rosas",728611
522,"ROSALÍA, The Weeknd",726176
523,Mon Laferte,726011
524,"Los Ángeles Azules, Natalia Lafourcade",724785
525,Pancho Barraza,724769
526,"Camilo, Pablo Alborán",724403
527,"Tiago PZK, Trueno",724009
528,Ivan Cornejo,723541
529,J Balvin,720983
530,Bobby Pulido,718322
531,Dua Lipa,713727
532,"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",711262
533,Junior H,706496
534,Christian Nodal,703701
535,"Grupo Firme, Banda Coloso",702900
536,"Shawn Mendes, Justin Bieber",699204
537,"Reik, Farruko, Camilo",692109
538,"Jowell & Randy, J Balvin",692062
539,"Bad Bunny, ABRA",690085
540,Mariah Carey,686056
541,Calibre 50,685506
542,Joan Sebastian,681732
543,Banda MS de Sergio Lizárraga,681701
544,"Carin Leon, Conjunto Primavera",680003
545,Calibre 50,677331
546,Christian Nodal,675410
547,Banda MS de Sergio Lizárraga,673940
548,Regard,673296
549,Los Acosta,670274
550,"SAINt JHN, Imanbek",670015
551,Danny Ocean,669366
552,Junior H,662955
553,Bad Bunny,658205
554,"Rauw Alejandro, Farruko",654520
555,"Bad Bunny, Mora",652950
556,Rels B,650960
557,"Rauw Alejandro, Chencho Corleone",647303
558,Grupo Ensamble,647139
559,Luis Miguel,645866
560,"Aya Nakamura, Maluma",645826
561,Alejandro Fernández,644355
562,Danna Paola,644202
563,Bad Bunny,642661
564,Myke Towers,641363
565,Timbiriche,640908
566,"Joan Sebastian, Calibre 50",636602
567,"Piso 21, Micro TDH",632864
568,Selena,624887
569,León Larregui,620741
570,"Luis Angel ""El Flaco"", Grupo Firme",617429
571,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",613734
572,Joan Sebastian,605380
573,Inspector,602695
574,"Black Eyed Peas, J Balvin",601973
575,"ChiChi Peralta, Jandy Feliz",601688
576,Luis Miguel,601603
577,Selena,599978
578,Wham!,599716
579,"Leon Leiden, Yung Dupe, Salma, Charly Romero, Jeis, Pao Alvarado",597774
580,Paulo Londra,596263
581,"Anuel AA, Bad Bunny",595423
582,Danna Paola,592133
583,"Los 2 de la S, Banda MS de Sergio Lizárraga",591847
584,Danna Paola,590617
585,Maluma,589660
586,Harry Nach,585962
587,El Fantasma,584699
588,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",584576
589,Bad Bunny,583628
590,"Aaron Smith, Krono, Luvli",583310
591,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",581764
592,Los Elegantes de Jerez,581047
593,Luis Miguel,577981
594,Flans,576850
595,"Camilo, Pedro Capó",576529
596,"Alejandro Fernández, Calibre 50",574834
597,"Post Malone, Swae Lee",574459
598,Bad Bunny,570193
